Title:,Cancer Mortality from the US Cancer Statistics Database,,,,,,,,,,,,,,,,,,,
SubTitle:,Region - Indicator: Deaths,,,,,,,,,,,,,,,,,,,
Time:,1999 - 2017,,,,,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Citation:,"National Program of Cancer Registries (NPCR), The National Cancer Institute, and National Center for Health Statistics (NCHS), Centers for Disease Control and Prevention  (2021-08-27). Cancer Mortality: Cancer Mortality | Midwest, Northeast, South, West | Breast | Esophagus | Liver | Ovary | Prostate | Deaths, 1999 - 2017. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  005-065-002 doi:https://doi.org/10.6068/DP17D775D3DB320",,,,,,,,,,,,,,,,,,,
ColumnCount:,21,,,,,,,,,,,,,,,,,,,
RowCount:,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Time,Midwest - Breast,Midwest - Esophagus,Midwest - Liver,Midwest - Ovary,Midwest - Prostate,Northeast - Breast,Northeast - Esophagus,Northeast - Liver,Northeast - Ovary,Northeast - Prostate,South - Breast,South - Esophagus,South - Liver,South - Ovary,South - Prostate,West - Breast,West - Esophagus,West - Liver,West - Ovary,West - Prostate
1999,10191,2875,2073,3261,7681,9305,2620,1918,3000,6426,14330,4122,3710,4647,11574,7702,2300,2129,2719,6047
2000,10336,3075,2044,3361,7491,9303,2697,1997,3032,6349,14668,4161,3825,4812,11268,7993,2299,2326,2855,5970
2001,9968,3124,2083,3413,7374,9279,2679,2043,3154,6386,14723,4384,3993,4901,11110,7839,2342,2370,2946,5849
2002,9992,3179,2157,3493,7175,9097,2745,2048,3138,6183,14929,4310,4274,5059,11000,7865,2466,2569,2992,6088
2003,9948,3191,2243,3470,6921,9099,2889,2154,3136,6061,14909,4407,4295,4994,10596,8042,2373,2731,3057,5976
2004,9633,3212,2316,3440,6887,8813,2811,2244,2999,5776,14849,4526,4508,5070,10430,8021,2474,2763,3207,5909
2005,9731,3359,2475,3438,6708,8619,3025,2315,3046,5613,15134,4613,4824,5180,10475,8007,2502,2930,3123,6109
2006,9695,3392,2522,3471,6507,8484,2913,2389,3166,5441,14899,4741,4985,5197,10511,8131,2639,2936,3023,5913
2007,9581,3367,2507,3361,6786,8282,2889,2413,3028,5591,15038,4764,5188,5119,10566,8068,2572,3183,3113,6150
2008,9701,3473,2670,3263,6596,8258,2824,2537,2948,5463,14998,4845,5641,5079,10270,8069,2572,3328,3072,6142
2009,9378,3433,2737,3355,6410,8254,2906,2629,2894,5231,15075,4818,6047,5082,10251,8369,2751,3550,3105,6196
2010,9497,3700,2952,3337,6466,8133,2924,2781,2890,5458,15433,5087,6159,5211,10427,8372,2779,3645,3134,6209
2011,9530,3580,3094,3198,6318,8134,2950,2717,2912,5318,15348,5100,6789,5157,10171,8362,2816,4031,3079,6163
2012,9420,3659,3318,3239,6173,7952,2825,2987,2832,5023,15734,5168,6977,5198,10021,8449,2997,4334,3135,6027
2013,9336,3681,3395,3247,6093,7942,2893,3042,2834,5112,15389,5312,7402,5052,10237,8657,2803,4555,3143,6239
2014,9334,3831,3505,3124,6334,7653,3016,3074,2765,5207,15941,5133,7827,5085,10323,8748,2955,4497,3221,6479
2015,9365,3889,3510,3022,6438,7793,2925,3042,2711,5079,15888,5377,8232,4924,10617,8940,3020,4746,3263,6714
2016,9244,3919,3670,3203,6604,7806,2980,3174,2634,5398,16048,5506,8232,5106,11141,8853,3054,4779,3280,7227
2017,9144,3876,3636,3084,6712,7673,2920,3127,2715,5439,16604,5434,8466,5175,11356,9089,3091,4861,3219,6979
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Publisher:," ""Centers for Disease Control and Prevention """,,,,,,,,,,,,,,,,,,,
Copyright:," ""The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version.""",,,,,,,,,,,,,,,,,,,
